site_no,site_name,street_address,city_state_zip,county,media,violation_date,violation,status,resolved_date,document,full_address,latitude,longitude,id
175980,Rehoboth Tires,"224 Mountain Rd, Suite B","Pasadena, MD, 21122",Anne Arundel,SWP-Scrap Tire,2023/04/14,"Scrap tires are stockpiled outside the front door of the building, and inside of a fenced in area.","Ongoing, Referred to Enforcement",,,"224 Mountain Rd, Suite B, Pasadena, MD, 21122",,,1
186017,Conservit,"9317 Earley Dr, Parcel 202","Hagerstown, MD, 21740",Washington,SWP-Refuse Disposal,2025/05/14,"There is open dumping of plastic and foam materials spread out over at least 4.5 acres at depths of up to ~10ft, with unknown fill contents, and other scattered debris such as pallets, scrap metal, scrap tires, etc","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3336746,"9317 Earley Dr, Parcel 202, Hagerstown, MD, 21740",,,2
601,Phoenix Color Group,18249 Phoenix Drive,"Hagerstown, MD, 21742",Washington,SWP-Hazardous Waste,2025/11/18,"Contingency plan has not been amended as required ( failure of plan, changes to facility, changes to personnel or equipment) [COMAR 26.13.05.04]\line\line",Returned to Compliance,2025/10/16,,"18249 Phoenix Drive, Hagerstown, MD, 21742",,,3
1794,US DEPARTMENT OF AGRICULTURE - BELTSVILLE AGRICULTURAL RESEARCH CENTER,"10300 Baltimore Ave, Bldg 33F","Beltsville, MD, 20705",Prince George's,SWP-Hazardous Waste,2022/09/08,Facility has no adequate aisle space to allow unobstructed personnel movements [COMAR 26.13.05.03F]\line\line,Returned to Compliance,2022/08/23,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2943275,"10300 Baltimore Ave, Bldg 33F, Beltsville, MD, 20705",,,4
179430,"L&MS Enterprises, LLC d/b/a Lynn's Automotive",4421 Buckeystown Pk,"Frederick, MD, 21704",Frederick,SWP-Scrap Tire,2023/09/11,Collection of scrap tires without a license,Returned to Compliance,2024/03/14,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3066558,"4421 Buckeystown Pk, Frederick, MD, 21704",39.3541422,-77.4227651,5
4906,Havre De Grace Military Reservation,301 Old Bay Ln,"Havre De Grace, MD, 21078",Harford,SWP-Hazardous Waste,2025/06/10,There is no adequate containment system in place [COMAR 26.13.05.09H]\line\line,"Ongoing, Referred to Enforcement",2025/05/09,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3353784,"301 Old Bay Ln, Havre De Grace, MD, 21078",39.5349206,-76.1078089,6
2824,Vibrantz Technologies,610 Pittman Rd,"Curtis Bay, MD, 21226",Anne Arundel,SWP-Hazardous Waste,2024/03/11,Lamps are not managed properly,Returned to Compliance,2024/03/01,,"610 Pittman Rd, Curtis Bay, MD, 21226",,,7
107317,Aspen Nursery,15710 New Hampshire Ave,"Silver Spring, MD, 20905",Montgomery,SWP-Natural Wood Waste,2022/05/24,Required distance is not maintained between piles,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2916982,"15710 New Hampshire Ave, Silver Spring, MD, 20905",39.076572,-77.0018621,8
4675,"Gomez Tire Shop, Inc",1111 E 25th St,"Baltimore, MD, 21218",Baltimore City,SWP-Scrap Tire,2022/11/27,No scrap tire collection license.,Returned to Compliance,2024/07/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2957717,"1111 E 25th St, Baltimore, MD, 21218",39.317177,-76.5987869,9
167652,Stokes Property,7755 Carrico Mill Ln,"Charlotte Hall, MD, 20622",Charles,SWP-Refuse Disposal,2022/01/14,Drywall debris remains in an open dump,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2940966,"7755 Carrico Mill Ln, Charlotte Hall, MD, 20622",,,10
